# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE68259|methylation_array|Homo sapiens|6|GSE68259_RAW.tar(183MB), GSE68259_Unnormalized_matrix_table.txt.gz(13MB)|cancer,epigenetics|DNA methylation data from cell lines originating from patients with multiple myeloma|genome-wide profiling KMS11 RPMI8226 identify changes distinct|
GSE64395|other_methylation|Homo sapiens|15|GSE64395_RAW.tar(29MB)|epigenetics,skeletal_muscle|Genome-wide mapping of DNA hydroxymethylation in osteoarthritic chondrocytes|SuperSeries composed SubSeries listed|
GSE64393|hmc_seq|Homo sapiens|8|GSE64393_NormOAall5hmCpeaks.txt.gz(5MB)|epigenetics,skeletal_muscle|Genome-wide mapping of DNA hydroxymethylation in osteoarthritic chondrocytes [methylation]|Examination distribution 5hmC normal order elucidate effect OA-specific gene expression 5hmC-sequencing microarray identify genes differential potentially under epigenetic regulation|
GSE60075|rrbs|Mus musculus|6|GSE60075_RAW.tar(42MB)|development,epigenetics,reproduction|DNA methylation profiling in WT-AG-haESCs, DKO-AG-haESCs and round spermatids|generated RRBS analyse among deletion H19 Gtl2 DMRs change patterns base detected CpG sites|
GSE56975|wgbs|Gallus gallus|2|GSE56975_RAW.tar(67MB)|epigenetics,lung_respiratory|Single-base resolution DNA methylation profiles of two highly inbred chicken lines, Leghorn and Fayoumi, by whole-genome bisulfite sequencing (MethylC-seq).|provided first methylatome lungs addition genetically distinct examine regulates mRNA gene expression demonstrated methylcytosines more likely occur dinucleotides non-CG sites body region espe|
GSE70175|other_methylation|Homo sapiens|11|GSE70175_RAW.tar(187MB)|cancer,neuroscience,development,epigenetics|Identification of Global DNA Methylation Signatures in Glioblastoma-Derived Cancer Stem Cells|GBM most common aggressive primary brain tumor adults existence small population stem-like efficiently propagate tumors resist cytotoxic therapy one proposed leading resilient behavior poor prognosis|
GSE65784|rrbs|Mus musculus|12|GSE65784_RAW.tar(96MB)|epigenetics,reproduction|DNA methylation analysis by RRBS in germ cells of mice exposed to Vinclozolin|quantitative maps cytosine single base resolution E13 primordial adult sperm purified|
GSE57576|rrbs|Mus musculus|9|GSE57576_methylcall.Sample_AAA.mincov10.txt.gz(15MB), GSE57576_methylcall.Sample_C.mincov10.txt.gz(14MB), GSE57576_methylcall.Sample_R.mincov10.txt.gz(19MB), GSE57576_methylcall.Sample_TKO.mincov10.txt.gz(11MB), GSE57576_methylcall.Sample_WT.mincov10.txt.gz(19MB), GSE57576_methylcall.Sample_WWD.mincov10.txt.gz(16MB)|neuroscience,development,epigenetics,drug_response,signal_transduction|Engineering of a histone-recognition domain in Dnmt3a alters the epigenetic landscape of ESCs revealing changes in lineage specification and chromosomal stability (Bisulfite-Seq)|modifications DNA methylation represent two distinct modes varying landscapes whose exact interrelationship Previous lysine trimethylation H3K4me3 inhibits binding novo methyltransferases|
GSE68060|methylation_array|Homo sapiens|120|GSE68060_RAW.tar(1.1GB)|cancer,epigenetics|Methyome profiling in serrated carcinoma|adenocarcinoma SAC recently recognized colorectal cancer CRC subtype accounting CRCs worse prognosis different molecular immunohistochemical features conventional date analysing methylome profile|
GSE69984|rrbs|Rattus norvegicus|32|GSE69984_RAW.tar(1007MB)|development,epigenetics,cell_stress,gene_regulation|Genome-wide DNA methylation profiling reveals epigenetic changes in the rat nucleus accumbens associated with cross-generational effects of adolescent THC exposure|Drug critical periods development lasting increasing one risk developing mental health disorders Emerging evidence indicated possibility even impact subsequent generations previous work demonstrated|
GSE38804|methylation_array|Pan troglodytes; Homo sapiens|24|GSE38804_RAW.tar(6MB), GSE38804_signal_intensities.txt.gz(3MB)|neuroscience,metabolism,epigenetics,cell_stress,liver|Epigenome analysis of brain between human and chimpanzee|wide DNA methylation profiling liver Illumina HumanMethylation27 Beadchip obtain profiles across approximately 000 CpGs sample Samples included NeuN-positive/NeuN-negative/unsorted three individuals|
GSE62195|rrbs|Oncorhynchus mykiss|18|GSE62195_French_Processed_Data_DMC.txt.gz(5MB), GSE62195_French_Processed_Data_DMR.txt.gz(2KB), GSE62195_Miller_Processed_Data_DMC.txt.gz(4MB), GSE62195_Miller_Processed_Data_DMR.txt.gz(1KB), GSE62195_readme.txt(4KB)|epigenetics,reproduction|Migration-related phenotypic divergence is associated with epigenetic variation in rainbow trout|essential reproduction survival many animals little understood molecular salmonid Oncorhynchus mykiss gain mechanistic insight smoltification morphological physiological behavioral transition|
GSE57527|wgbs|Mus musculus|9|GSE57527_RAW.tar(2.3GB)|cancer,immunology,development,epigenetics,gut_intestine|Altered epigenetic programming links intestinal inflammation to colon cancer (Bisulfite-seq)|uses whole-genome sequencing characterize methylomes AOM/DSS mouse model single-base resolution mice treated dextran sodium sulfate DSS induce colitis treatment preceded injections weak carcinogen|
GSE60007|other_methylation|Mus musculus|2|GSE60007_RAW.tar(180KB)|cancer,development,epigenetics|Retrotransposon-based profiling of mammalian epigenomes: DNA methylation of IAP LTRs in embryonic stem, somatic and cancer cells|analyzed levels 4799 three murine types AB2 neuroblastoma line Neuro2A According half retrotransposons constant patterns remaining display variable variably methylated tend hypomethylated nearly group|
GSE54623|methylation_array|Homo sapiens|47|GSE54623_signal_intensities.txt.gz(899KB)|cancer,epigenetics,skin|DNA methylation profiles in primary cutaneous melanoma are associated with clinically significant pathologic features|melanomas tumor defines subgroups|
GSE61968|medip_seq|Homo sapiens|9|GSE61968_RAW.tar(8MB)|epigenetics|Semiconductor-based sequencing of genome-wide DNA methylation states|Methylated immunoprecipitation MeDIP-Seq widely approach present novel protocol compatible Torrent platform scalable accurately identifies sites differential Additionally high-throughput derived|
GSE38791|methylation_array|Homo sapiens|9|GSE38791_non_normalized.txt.gz(1MB), GSE38791_RAW.tar(6MB)|cancer,epigenetics|Somatic cell fusions reveal extensive heterogeneity in basal-like breast cancer [methylation27]|luminal tumors distinct clinical behavior molecular profiles poorly defined interrogate processes determine phenotypes inheritance pattern generated integrated genetic epigenetic DNA chromatin|
GSE61158|wgbs|Nasonia giraulti; Nasonia vitripennis|4|GSE61158_Ngir_adult_WGBSseq_CpG_counts.txt.gz(57MB), GSE61158_Nvit_adult_WGBSseq_CpG_counts.txt.gz(66MB)|epigenetics|Gene expression and epigenetic sexual dimorphism in two jewel wasp species Nasonia vitripennis and Nasonia giraulti [Bisulfite-Seq]|extraordinary range degree among animal widely perceived caused part differences patterns selection sex-specific adaptations chromosome play insects discovered substantial number sex-biased genes|
GSE69463|methylation_array|Homo sapiens|8|GSE69463_normalized_and_non-normalized.txt.gz(39MB), GSE69463_RAW.tar(183MB), GSE69463_rt112_results.xlsx(9MB), GSE69463_urotsa_results.xlsx(7MB)|cancer,cardiovascular,epigenetics|Epigenome analysis of angiogenin impact on bladder cancer|Overexpression UROtsaANG RT112Scr cause epigenetic changes comparing UROtsaEmpty RT112KD-ANG alteration genome-wide DNA methylation cells analyzed Illumina whole array Specifically methylated DNAs|
GSE64380|methylation_array|Homo sapiens|100|GSE64380_Matrix_Signal_Intensity.txt.gz(422MB), GSE64380_RAW.tar(183MB)|development,epigenetics,cell_stress|Array-based DNA-methylation analysis in individuals with developmental delay/intellectual disability and normal molecular karyotype|analyzed peripheral blood samples pattern controls HumanMethylation450 BeadChip bisulfite pyrosequencing validiation global separates patients detected approach changes genes COLEC11 SHANK2 GLI2 KCNQ2|
GSE67413|other_methylation|Homo sapiens|54|GSE67413_RAW.tar(135.6GB)|epigenetics|Methylation profiling of hydatidiform moles|SuperSeries composed SubSeries listed|
GSE67412|rrbs|Homo sapiens|12|GSE67412_RAW.tar(50.6GB)|epigenetics|Genome-wide DNA methylation analysis of diploid hydatidiform moles with androgenetic or biparental genomic origin|few patterns different types HMs AnHMs abnormal due fact nuclear inherited father BiHM suggested display imprinted genes suspected consequence failure establish maternal multiple|
GSE67216|other_methylation|Arabidopsis thaliana|27|GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_1_bin_size_1_context_CHG.wig.gz(12MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_1_bin_size_1_context_CHH.wig.gz(50MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_2_bin_size_1_context_CHG.wig.gz(10MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_2_bin_size_1_context_CHH.wig.gz(44MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_3_bin_size_1_context_CHG.wig.gz(11MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_3_bin_size_1_context_CHH.wig.gz(44MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_4_bin_size_1_context_CHG.wig.gz(13MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_4_bin_size_1_context_CHH.wig.gz(51MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_5_bin_size_1_context_CHG.wig.gz(10MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_5_bin_size_1_context_CHH.wig.gz(38MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_6_bin_size_1_context_CHG.wig.gz(11MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_6_bin_size_1_context_CHH.wig.gz(44MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_7_bin_size_1_context_CHG.wig.gz(16MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_7_bin_size_1_context_CHH.wig.gz(70MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_8_bin_size_1_context_CHG.wig.gz(12MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_8_bin_size_1_context_CHH.wig.gz(50MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_9_bin_size_1_context_CHG.wig.gz(10MB), GSE67216_cytosine2wig--wiggle_track--LaGrange_131213_140123_140506_index_9_bin_size_1_context_CHH.wig.gz(43MB)|epigenetics,plant_biology,rna_biology|Redundant AGO-hook platforms and AGO4-DNA interaction in polV-directed RdDM|Small RNA-dependent pairing AGO/PIWI-containing effector complexes chromatin-bound nascent transcripts proposed universal guiding RNA-mediated TGS eukaryotes Likewise V-dependent implicated targeting|
GSE66889|hmc_seq|Mus musculus|8|GSE66889_RAW.tar(706MB)|development,metabolism,liver|Genome wide 5hmC patterns in the mouse liver, embryonic fibroblasts and induced pluripontent stem cells.|carry hydroxymethyl DNA immunoprecipitation hmeDIP prior sequencing Ion Proton semiconductor platform demonstate strategy alternative method Illumina|
GSE65881|rrbs|Homo sapiens|42|GSE65881_RAW.tar(84.9GB)|cancer,development,epigenetics,reproduction|Altered DNA Methylation of MAP3K6 and HPCAL1 as Potential Predictors for Persistent Trophoblastic Disease|Patients molar pregnancy risk developing PTD Previous indicated related evacuation time hydatidiform mole leading hypothesis pre-programmed determine Considering similarity tumorigenesis alterations|
GSE64181|oxbs_seq|Homo sapiens|2|GSE64181_RAW.tar(221MB)|immunology,neuroscience,epigenetics,infectious_disease,microbiology|Bacterial Infection Remodels the DNA Methylation Landscape of Human Dendritic Cells (TAB-Seq)|epigenetic mark thought robust environmental perturbations short time scale challenge view demonstrating live pathogenic rapid changes levels thousands loci integrated genome-wide histone patterns|
GSE64177|wgbs|Homo sapiens|12|GSE64177_RAW.tar(1.2GB)|immunology,neuroscience,epigenetics,infectious_disease,microbiology|Bacterial Infection Remodels the DNA Methylation Landscape of Human Dendritic Cells (Bisulfite-Seq)|Peripheral blood mononuclear PBMCs isolated buffy coats Ficoll-Paque centrifugation monocytes purified positive selection magnetic CD14 MicroBeads Miltenyi Biotech Pure cultured days RPMI 1640|
GSE58104|medip_seq|Homo sapiens|4|GSE58104_RAW.tar(568MB)|development,epigenetics,infectious_disease,reproduction|Congenital scolisis may be associated with both of rare mutation and allele-specific methylation|scoliosis disease anomalous vertebral development Research indicates genetic environmental factors pregnancy contribute risk exact pathogenesis address issue generated exon capture sequencing|
GSE63393|wgbs|Homo sapiens|7|GSE63393_RAW.tar(12.5GB)|development,epigenetics|Whole Genome Bisulfite Sequencing (WGBS) of cKIT+ sorted cells from 57-137 day old fetal testes and ovaries.|analyses human samples 53-137 days development female male methylation reprogramming germline global incomplete exons UTRs human-specific transposons remaining methylated|
GSE61457|other_methylation|Mus musculus|4|GSE61457_RAW.tar(10.6GB)|epigenetics,crispr_gene_editing|Distinct roles of DNMT1-dependent and –independent methylation patterns in the genome of mouse ES cells|generated base-resolution DNA methylomes series knockout improved coverage highly repetitive elements DNMT3a/3b-dependent activities actually work complementarily simultaneously establish symmetric|
GSE67386|other_methylation|Mus musculus|14|GSE67386_RAW.tar(1.3GB)|epigenetics,lung_respiratory,reproduction|An epigenetic memory of pregnancy in the mouse mammary gland|major modulator activity induces tremendous expansion epithelium generation alveolar structures milk production Anecdotal evidence multiparous humans indicates react less strongly first subsequent|
GSE68838|methylation_array|Homo sapiens|302|GSE68838_caArray_EXP-620.tar.gz(39KB), GSE68838_RAW.tar(2.6GB)|epigenetics|caArray_EXP-620: TCGA (Coad): Analysis of DNA Methylation for COAD using Illumina Infinium HumanMethylation450 platform (Jhu-usc)||
