# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE84474|cut_and_run|Homo sapiens; Saccharomyces cerevisiae|126|GSE84474_Cut-and-Run_extract_protocol.rtf.gz(9KB), GSE84474_Cut_and_Run_human.rtf.gz(9KB), GSE84474_Cut_and_Run_human_size_selection.rtf.gz(9KB), GSE84474_Cut-and-Run_PEG_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_spike-in_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_total_DNA_protocol.rtf.gz(2KB), GSE84474_Native_ChIP.rtf.gz(9KB), GSE84474_RAW.tar(9.7GB)|epigenetics,microbiology,cell_stress,gene_regulation|Cut-and-Run in situ factor profiling maps DNA binding and 3D contact sites at high resolution|Unlike Chromatin Immunoprecipitation ChIP fragments solubilizes total allowing high-resolution mapping probing local environment applied yeast human nuclei yielded precise transcription profiles|
GSE163495|cut_and_tag|Mus musculus|6|GSE163495_RAW.tar(1.8GB)|immunology,neuroscience|Bulk Cut&run and Cut&tag|generated antibodies agains H3K27me3 primary mouse OPCs OPC model cell line Oli-neu H3K27ac addition BSA various steps protocol datasets benchmarks scCUT brain|
GSE157637|cut_and_tag|Mus musculus|17|GSE157637_ABC_model_predictions.tar.gz(5MB), GSE157637_bigwig.tar.gz(189MB), GSE157637_cicero_predictions.tar.gz(821KB), GSE157637_cluster_3T3.bw(12MB), GSE157637_cluster_mESC_1.bw(12MB), GSE157637_cluster_mESC_2.bw(9MB), GSE157637_cluster_Oli-neu_1.bw(21MB), GSE157637_cluster_Oli-neu_2.bw(10MB), GSE157637_fragments.tsv.gz(120MB), GSE157637_H3K27ac_matrix.h5(480MB), GSE157637_H3K27me3_cell_lines_matrix.h5(397MB), GSE157637_H3K27me3_cell_lines_seurat_object.Rds.gz(349MB), GSE157637_H3K27me3_matrix.h5(385MB), GSE157637_H3K36me3_matrix.h5(96MB), GSE157637_H3K4me3_matrix.h5(501MB), GSE157637_modified_fragments_file_cellranger.tar.gz(637MB), GSE157637_Olig2_matrix.h5(53MB), GSE157637_Rad21_matrix.h5(163MB), GSE157637_Seurat_v3_object.tar.gz(1.4GB)|immunology,neuroscience,development|Single cell Cut&Tag in the mouse brain|10x genomics chromium platform antibodies agains H3K4me3 H3K27ac H3K27me3 H3K36me3 Rad21 Olig2 nuclei isolated cells sorted GFP fluorescence Sox10-Cre/GFP whole postnatal day P21-25 Additionaly|
GSE153020|cut_and_run|Homo sapiens|6|GSE153020_RAW.tar(129MB)|cancer|Identification of TFAP2A and MITF binding sites in the melanoma cell line SK-MEL-28|lines Cleavage Under Targets Release Nuclease CUT RUN|
GSE166221|cut_and_run|Homo sapiens; Mus musculus|20|GSE166221_ZNF410_chromatin-occupancy.xlsx(61KB)|cancer,immunology,development,epigenetics,hematopoiesis|Genome-wide ZNF410 binding sites identified by CUT&RUN in HUDEP-2, human CD34+ HSPCs and MEL cells.|chromatin occupancy conducting antibody probe epitope tagged endogenous hematopoietic stem progenitor derived erythroid precursors mouse erythroleukemia|
GSE161837|cut_and_run|Homo sapiens; Mus musculus|14|GSE161837_RAW.tar(1.4GB)|immunology,epigenetics,gene_regulation|OBF1 and Oct factors control the germinal center transcriptional program (ChIP-seq, CUT&RUN)|specific coactivator POU family OCT1 OCT2 cell-specific indispensable formation action extensively colocalizes stabilizes binding often colocalize ETS ETS1 bind wid|
GSE164627|cut_and_run|Homo sapiens|8|GSE164627_merged_peaks_S369_r385_r388_postPubl.bed.gz(169KB), GSE164627_merged_S369_178_A385_peaks.bed.gz(248KB), GSE164627_RAW.tar(1.5GB)||SIX2 genome-binding profiling by CUT&RUN and high-throughput sequencing||
GSE165012|cut_and_run|Homo sapiens|3|GSE165012_RAW.tar(112MB)|immunology|Mapping genomic loci bound to BRD2 in Calu-3 cells|CUT RUN comprehensively included H3K4me3 IgG antibodies postive negative controls repectively|
GSE164594|cut_and_run|Homo sapiens|20|GSE164594_ChIPseq_Trim28_merged.maternal.bw(30MB), GSE164594_ChIPseq_Trim28_merged.paternal.bw(29MB), GSE164594_ChIPseq_XISTKO_H3K27ac_merged.maternal.bw(27MB), GSE164594_ChIPseq_XISTKO_H3K27ac_merged.paternal.bw(26MB), GSE164594_ChIPseq_XISTWT_H3K27ac_merged.maternal.bw(25MB), GSE164594_ChIPseq_XISTWT_H3K27ac_merged.paternal.bw(25MB), GSE164594_Cut_Run_H3K9me3_merged.maternal.bw(25MB), GSE164594_Cut_Run_H3K9me3_merged.paternal.bw(25MB), GSE164594_Cut_Run_XISTKO_H3K27me3_merged.maternal.bw(32MB), GSE164594_Cut_Run_XISTKO_H3K27me3_merged.paternal.bw(33MB), GSE164594_Cut_Run_XISTWT_H3K27me3_merged.maternal.bw(29MB), GSE164594_Cut_Run_XISTWT_H3K27me3_merged.paternal.bw(29MB), GSE164594_RAW.tar(2.9GB)|immunology,development,epigenetics,crispr_gene_editing,rna_biology,gene_regulation|The role of XIST in X-inactivation maintenance in B cells (ChIP-seq, Cut&Run))|long noncoding RNA lncRNA establishes chromosome XCI female early development thereafter thought largely dispensable continually required adult human silence subset X-linked immune genes TLR7|
GSE164536|cut_and_run|Mus musculus|4|GSE164536_RAW.tar(362MB)|immunology,development,epigenetics,gene_regulation|Genome wide map of Runx3 bound regions in murine splenic CD8 T cells|important transcription factor proper development number functionality severely affected absence gain insight transcriptional program managed conducted ChIP-seq million CUT 150 000 anti antibodies|
GSE176284|cut_and_tag|Homo sapiens|8|GSE176284_RAW.tar(434MB)|epigenetics,aging,plant_biology,gene_regulation,cell_cycle|RNA polymerase II is necessary for spatial chromatin reorganization following exit from mitosis [Cut&Tag-seq]|Mammalian chromosomes three-dimensional entities shaped converging opposing forces acting Mitotic cell division induces drastic condensation reentry cycle phase condensed unwind re-establish|
GSE178343|cut_and_tag|Danio rerio|9|GSE178343_H3K27me3_peaks.bed.gz(84KB), GSE178343_H3K4me3_peaks.bed.gz(243KB), GSE178343_H3K9me3_peaks.bed.gz(250KB), GSE178343_pol2_peaks.bed.gz(80KB), GSE178343_RAW.tar(756MB)|development,epigenetics,gene_regulation,signal_transduction|Identification of chromatin states during zebrafish gastrulation using CUT&RUN and CUT&Tag|describe successful implementation profiling protein-DNA interactions embryos apply modified method generate high resolution maps enrichment H3K4me3 H3K27me3 H3K9me3 RNA polymerase identify conserved|
GSE178097|cut_and_tag|Mus musculus|6|GSE178097_RAW.tar(265MB)|cancer,neuroscience,development|CUT&Tag analysis of H3K4me3 and H3K27me3 in the neural stem/progenitor cells under crotonate treatment.|gain deeper insight regulates embryonic NSPCs proliferation differentiation analyze genome-wide changes stimulated E13|
GSE161919|cut_and_tag|Drosophila melanogaster|107|GSE161919_RAW.tar(848MB)|cancer,development,epigenetics,cell_stress,gene_regulation|The H3.3K27M oncohistone antagonizes reprogramming in Drosophila|Development proceeds activation genes transcription factors inactivation others chromatin-mediated gene silencing cases reversed redirected mis-expression master regulator must involve previously|
GSE160896|cut_and_run|Homo sapiens|8|GSE160896_102_comb.bw(1.3GB), GSE160896_197_comb.bw(1.3GB), GSE160896_714_comb.bw(1.2GB), GSE160896_85_comb.bw(1.4GB)|cancer,infectious_disease,skeletal_muscle,gene_regulation|The FLI portion of EWS/FLI contributes a transcriptional regulatory function that is distinct from its DNA-binding function in Ewing sarcoma [CUT&RUN]|purpose compare relevance genomic localization protein cells cDNA constructs various deletions virally transduced sought determine ATAC profile|
GSE159608|cut_and_tag|Homo sapiens|419|GSE159608_AutoCUTnRUN_protocols_io.pdf(6MB), GSE159608_AutoCUTnTag_protocols_io.pdf(5MB), GSE159608_CnTathome_Protocols_io.pdf(2MB), GSE159608_CUTnTag-direct_v2_Protocols.io.pdf(3MB), GSE159608_iCell8_scCnT_protocol.pdf(35KB), GSE159608_RAW.tar(17.5GB)|cancer,development,epigenetics,hematopoiesis|Automated CUT&Tag profiling of chromatin heterogeneity in mixed-lineage leukemia|Acute myeloid lymphoid leukemias often harbor chromosomal translocations involving Leukemia-1 encodes KMT2A lysine methyltransferase most common produce in-frame fusions trans-activation domains|
GSE176316|cut_and_tag|Homo sapiens|1|GSE176316_RAW.tar(100MB)|development,hematopoiesis|FOS Guards Quiescence and Potency in Human Hematopoietic Stem Cells [CUT&Tag]|limited dividing critical preserving stem/progenitor HSPCs lifetime little process regulated mobilized peripheral blood predominantly quiescent state rapidly exit reduce repopulating short-term|
GSE173568|cut_and_run|Homo sapiens|16|GSE173568_RAW.tar(1.9GB)|immunology,development,epigenetics,infectious_disease,hematopoiesis,gene_regulation|Genome-wide mapping of H3K4me3 and H3K27ac in monocytes from SARS-CoV-2 convalescent patients.|Epigenetic alterations COVID-19 individuals healthy controls analyzed trimethylated acetylated CUT RUN Skene Henikoff 2017 reprogramming myeloid cells represents hallmark trained innate immunity|
GSE165160|cut_and_run|Mus musculus|18|GSE165160_RAW.tar(2.4GB)|immunology,development,epigenetics|CTCF is a Barrier for Totipotent-like Reprogramming  [Cut&Run]|cells ability generating embryonic extra-embryonic tissues Interestingly rare population potential within ESC cultures cell arise display similar features embryo molecular determinants conversion|
GSE149796|cut_and_tag|Mus musculus|10|GSE149796_RAW.tar(107MB)|immunology,development,epigenetics,infectious_disease|CUT&Tag ChIP-seq analysis of BATF in CX3CR1+ effector , CX3CR1- Ly108- exhausted, or Ly108+  progenitor CD8 T cells during chronic viral infection.|pathogen-specifc develop three main phenotypically functionally distinct subsets TCF1hi PD-1hi recently identied cytotoxic genetic programs governing subset formation well-studied differentiation|
GSE141486|cut_and_tag|Mus musculus|56|GSE141486_KLF4_CGI_TRE3G_EGFP.fa.gz(2KB), GSE141486_RAW.tar(5.2GB)|cancer,development,epigenetics,signal_transduction|Variant PCGF1-PRC1 links PRC2 recruitment with induced transcriptional inactivation at target genes [CUT&Tag]|Polycomb repressive complexes-1 silence developmental spatiotemporally regulated manner metazoan embryogenesis proteins contribute down-regulation differentiation elusive differentiating embryonic|
GSE171461|cut_and_tag|Mus musculus|2|GSE171461_RAW.tar(387MB)|immunology,epigenetics|ATRX promotes heterochromatin formation to protect cells from G-quadruplex DNA-mediated stress [CUT&Tag]|analyze enrichment mESC|
GSE167563|cut_and_run|Homo sapiens|32|GSE167563_RAW.tar(27MB)|immunology,neuroscience,metabolism,infectious_disease,hematopoiesis,cell_stress,rna_biology,signal_transduction|Long noncoding RNA MIR4435-2HG enhances metabolic function of myeloid dendritic cells from HIV-1 elite controllers (Cut&Run)|Restriction replication ECs frequently attributed cell-mediated immune responses while specific contribution innate less clear demonstrated upregulation host non-coding lncRNA primary mDc Elevated|
GSE173103|cut_and_tag|Homo sapiens; Mus musculus|25|GSE173103_RAW.tar(2.1GB)|epigenetics|Genome-wide mapping of G-quadruplex structures with CUT&Tag|Single-stranded genomic DNA fold form RNA hybrids loops Recent evidence non-canonical affect gene expression methylation replication fork progression stability resolved report use Cleavage Under|
GSE151697|cut_and_run|Gallus gallus|8|GSE151697_RAW.tar(168MB)|neuroscience,development,epigenetics,gene_regulation,eye_vision|Cis-regulatory dissection of cone development reveals a broad role for Otx2 and Oc transcription factors [CUT&RUN]|vertebrate retina generated retinal progenitor cells RPCs produce 100 cell types many other restricted daughter photoreceptor horizontal genome-wide assays chromatin structure compare profiles|
GSE172066|cut_and_run|Homo sapiens|22|GSE172066_RAW.tar(4.3GB)|cancer,neuroscience,development,epigenetics,skin,microbiology,signal_transduction|Developmental chromatin programs determine oncogenic competence in melanoma [Cut&Run]|perfomed ATAD2 MYC SOX10 3xKO dox melanocytes 000 cells per condition protocol Skene 2018 common targets Many belong signature typical neural crest MAPK pathway|
GSE180006|cut_and_run|Mus musculus|18|GSE180006_RAW.tar(5.7GB)|development,epigenetics,eye_vision|Global chromatin relabeling accompanies spatial inversion of chromatin in rod photoreceptors|CUT RUN sequencing technology high-throughput profiling histone modifications murine cells post-natal maturation generated genome-wide chromatin-state maps mouse embryonic stem isolated days adult|
GSE165018|cut_and_run|Mus musculus|4|GSE165018_RAW.tar(129MB)|neuroscience,gene_regulation|MEF2C CUT&RUN in PV and SST interneurons.|mature cortical characterize differential usage transcription factor populations|
GSE171216|cut_and_run|Mus musculus|6|GSE171216_RAW.tar(2.9GB)|cancer,epigenetics,infectious_disease,lung_respiratory|NSD2 amplifies oncogenic transcriptional output to promote lung adenocarcinoma pathogenesis [CUT&RUN]|RNA-seq kras driven tumor biopsies Cut-and-run derived cells Ras-output chromatin separately activates oncogenic-promoting expression programs|
GSE183520|cut_and_run|Mus musculus|12|GSE183520_RAW.tar(776MB)|development|MBD2 and H3K4Me3 CUT&RUN-sequencing in C2C12 cells undergoing myogenic differentiation|genome-binding landscape assessed differentiating positive control Negative experiment rabbit isotype monoclonal IgG|
GSE172130|cut_and_run|Mus musculus|8|GSE172130_RAW.tar(4MB)|immunology,epigenetics,cell_stress,gene_regulation|An integrated CUT&RUN quality control workflow for histone modifications and transcription factors|Genome-wide H3K4me3 Ikaros profiles fresh frozen mouse splenic cells via|
GSE183027|cut_and_tag|Rattus norvegicus|4|GSE183027_RAW.tar(15MB)|development,cardiovascular,metabolism,plant_biology,cell_stress,liver|Excessive Branched Chain Amino Acid Accumulation Creates an Unfavourable Myocardial Milieu that Inhibits the Cardioprotective Effects of Implanted Mesenchymal Stem Cells in Ischemic Heart Injury [CUT&Tag]|infarction causes cardiac metabolic reprogramming robust changes intramyocardial metabolite composition little influence fate BCAA signature post-infarcted created unfavorable inhibiting retention|
GSE172132|cut_and_tag|Homo sapiens|128|GSE172132_atf6_pt_nt_0.5h.rpm.bw(27MB), GSE172132_atf6_pt_nt_0h.rpm.bw(23MB), GSE172132_atf6_pt_nt_1h.rpm.bw(24MB), GSE172132_atf6_pt_nt_2h.rpm.bw(14MB), GSE172132_atf6_pt_sieloa_0.5h.rpm.bw(25MB), GSE172132_atf6_pt_sieloa_0h.rpm.bw(14MB), GSE172132_atf6_pt_sieloa_1h.rpm.bw(31MB), GSE172132_atf6_pt_sieloa_2h.rpm.bw(20MB), GSE172132_cdk8_pt_nt_0.5h.rpm.bw(77MB), GSE172132_cdk8_pt_nt_0h.rpm.bw(111MB), GSE172132_cdk8_pt_nt_1h.rpm.bw(64MB), GSE172132_cdk8_pt_nt_2h.rpm.bw(80MB), GSE172132_cdk8_pt_sieloa_0.5h.rpm.bw(90MB), GSE172132_cdk8_pt_sieloa_0h.rpm.bw(88MB), GSE172132_cdk8_pt_sieloa_1h.rpm.bw(89MB), GSE172132_cdk8_pt_sieloa_2h.rpm.bw(88MB), GSE172132_eloa_pt_nt_0.5h.rpm.bw(103MB), GSE172132_eloa_pt_nt_0h.rpm.bw(77MB), GSE172132_eloa_pt_nt_1h.rpm.bw(89MB), GSE172132_eloa_pt_nt_2h.rpm.bw(64MB), GSE172132_eloa_pt_sieloa_0.5h.rpm.bw(25MB), GSE172132_eloa_pt_sieloa_0h.rpm.bw(25MB), GSE172132_eloa_pt_sieloa_1h.rpm.bw(29MB), GSE172132_eloa_pt_sieloa_2h.rpm.bw(42MB), GSE172132_med15_pt_nt_0.5h.rpm.bw(63MB), GSE172132_med15_pt_nt_0h.rpm.bw(83MB), GSE172132_med15_pt_nt_1h.rpm.bw(63MB), GSE172132_med15_pt_nt_2h.rpm.bw(44MB), GSE172132_med15_pt_sieloa_0.5h.rpm.bw(55MB), GSE172132_med15_pt_sieloa_0h.rpm.bw(61MB), GSE172132_med15_pt_sieloa_1h.rpm.bw(59MB), GSE172132_med15_pt_sieloa_2h.rpm.bw(62MB), GSE172132_med1_nt_0.5h.rpm.bw(34MB), GSE172132_med1_nt_0h.rpm.bw(91MB), GSE172132_med1_nt_1h.rpm.bw(29MB), GSE172132_med1_nt_2h.rpm.bw(36MB), GSE172132_med1_sieloa_0.5h.rpm.bw(92MB), GSE172132_med1_sieloa_0h.rpm.bw(55MB), GSE172132_med1_sieloa_1h.rpm.bw(53MB), GSE172132_med1_sieloa_2h.rpm.bw(66MB), GSE172132_s2p_nt_0.5h.rpm.bw(199MB), GSE172132_s2p_nt_0h.rpm.bw(276MB), GSE172132_s2p_nt_1h.rpm.bw(139MB), GSE172132_s2p_nt_2h.rpm.bw(191MB), GSE172132_s2p_sieloa_0.5h.rpm.bw(239MB), GSE172132_s2p_sieloa_0h.rpm.bw(268MB), GSE172132_s2p_sieloa_1h.rpm.bw(167MB), GSE172132_s2p_sieloa_2h.rpm.bw(138MB), GSE172132_s5p_nt_0.5h.rpm.bw(101MB), GSE172132_s5p_nt_0h.rpm.bw(161MB), GSE172132_s5p_nt_1h.rpm.bw(61MB), GSE172132_s5p_nt_2h.rpm.bw(80MB), GSE172132_s5p_sieloa_0.5h.rpm.bw(98MB), GSE172132_s5p_sieloa_0h.rpm.bw(136MB), GSE172132_s5p_sieloa_1h.rpm.bw(56MB), GSE172132_s5p_sieloa_2h.rpm.bw(46MB), GSE172132_tbp_ab_nt_0.5h.rpm.bw(46MB), GSE172132_tbp_ab_nt_0h.rpm.bw(47MB), GSE172132_tbp_ab_nt_1h.rpm.bw(34MB), GSE172132_tbp_ab_nt_2h.rpm.bw(44MB), GSE172132_tbp_ab_sieloa_0.5h.rpm.bw(41MB), GSE172132_tbp_ab_sieloa_0h.rpm.bw(40MB), GSE172132_tbp_ab_sieloa_1h.rpm.bw(54MB), GSE172132_tbp_ab_sieloa_2h.rpm.bw(54MB)|cancer,epigenetics,cell_stress,gene_regulation|A role for Elongin in Mediator recruitment at ATF6α regulated genes [Cut&Tag]|bZIP transcription factor master regulator endoplasmic reticulum stress response report identify multifunctional RNA polymerase cofactor ATF6α-dependent activation Biochemical reveal least part|
GSE168367|cut_and_tag|Mus musculus|62|GSE168367_DaxxFF_24wpi_H3K27ac_cov.bw(274MB), GSE168367_DaxxFF_24wpi_H3K27me3_cov.bw(496MB), GSE168367_DaxxFF_24wpi_H3K9me3_cov.bw(325MB), GSE168367_DaxxFF_24wpi_Pu1_cov.bw(160MB), GSE168367_DaxxFF_3wpi_H3.3_cov.bw(339MB), GSE168367_DaxxFF_3wpi_H3K27ac_cov.bw(85MB), GSE168367_DaxxFF_3wpi_H3K9me3_cov.bw(95MB), GSE168367_DaxxFF_3wpi_Pu1_cov.bw(424MB), GSE168367_DaxxFF_8wpi_H3K27me3_cov.bw(141MB), GSE168367_DaxxFF_8wpi_H3K9me3_cov.bw(105MB), GSE168367_DaxxFFPu1FF_24wpi_H3.3_cov.bw(392MB), GSE168367_DaxxFFPu1FF_24wpi_H3K27ac_cov.bw(252MB), GSE168367_DaxxFFPu1FF_24wpi_H3K27me3_cov.bw(416MB), GSE168367_DaxxFFPu1FF_24wpi_H3K9me3_cov.bw(173MB), GSE168367_DaxxFFPu1FF_8wpi_H3K27me3_cov.bw(143MB), GSE168367_DaxxFFPu1FF_8wpi_H3K9me3_cov.bw(120MB), GSE168367_DaxxWtWt_24wpi_H3.3_cov.bw(180MB), GSE168367_DaxxWtWt_24wpi_H3K27ac_cov.bw(331MB), GSE168367_DaxxWtWt_24wpi_H3K27me3_cov.bw(437MB), GSE168367_DaxxWtWt_24wpi_H3K9me3_cov.bw(264MB), GSE168367_DaxxWtWt_24wpi_Pu1_cov.bw(179MB), GSE168367_DaxxWtWt_3wpi_H3.3_cov.bw(437MB), GSE168367_DaxxWtWt_3wpi_H3K27ac_cov.bw(107MB), GSE168367_DaxxWtWt_3wpi_H3K9me3_cov.bw(133MB), GSE168367_DaxxWtWt_3wpi_Pu1_cov.bw(534MB), GSE168367_DaxxWtWt_8wpi_H3K27me3_cov.bw(138MB), GSE168367_DaxxWtWt_8wpi_H3K9me3_cov.bw(116MB), GSE168367_H3.3_DaxxFF_24wpi_noXY_diffsite.txt.gz(17MB), GSE168367_H3.3_DaxxFF_3wpi_diffsite.txt.gz(10MB), GSE168367_H3K27ac_DaxxFF_24wpi_noXY_diffsite.txt.gz(13MB), GSE168367_H3K27ac_DaxxFF_diffsite.txt.gz(6MB), GSE168367_H3K27me3_DaxxFF_24wpi_noXY_diffsite.txt.gz(9MB), GSE168367_H3K27me3_DaxxFFPu1FFvsDaxxFF_8wpi_diffsite.txt.gz(4MB), GSE168367_H3K27me3_DaxxFFPu1FFvsDaxxWtWt_8wpi_diffsite.txt.gz(4MB), GSE168367_H3K27me3_DaxxFFvsDaxxWtWt_8wpi_diffsite.txt.gz(17MB), GSE168367_H3K9me3_DaxxFF_24wpi_noXY_diffsite.txt.gz(10MB), GSE168367_H3K9me3_DaxxFF_8wpi_diffsite.txt.gz(5MB), GSE168367_H3K9me3_DaxxFF_diffsite.txt.gz(4MB), GSE168367_H3K9me3_DaxxFFPu1FFvsDaxxFF_8wpi_diffsite.txt.gz(3MB), GSE168367_H3K9me3_DaxxFFPu1FFvsDaxxWtWt_8wpi_diffsite.txt.gz(3MB), GSE168367_Pu1_DaxxFF_24wpi_noXY_diffsite.txt.gz(17MB), GSE168367_Pu1_DaxxFF_3wpi_diffsite.txt.gz(11MB)|cancer,immunology,development,epigenetics,infectious_disease,aging,hematopoiesis|Aberrant chromatin landscape upon loss of the H3.3 chaperone Daxx leads to Pu.1-mediated neutrophilia and inflammation [CUT&Tag]|Defective silencing retroviral elements linked inflamm-aging cancer auto-immune diseases partially understood implicate histone retrotransposable element RTE repressor inactivated myeloid leukemia|
